word,Time_s,F0_Hz
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,0.499621,76.573067
your,0.511159,77.836372
your,0.522698,145.537422
your,0.534236,139.113856
your,0.545774,134.389726
your,0.557313,129.437992
your,0.568851,128.324674
your,0.580390,123.553276
your,0.591928,122.263931
your,0.603467,122.607431
your,0.615005,122.033232
your,0.626544,120.724874
your,0.638082,120.120397
your,0.649621,119.540249
your,0.661159,119.320512
your,--undefined--,--undefined--
your,--undefined--,--undefined--
your,0.695774,65.490875
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,0.741928,133.250764
good,0.753467,130.278738
good,0.765005,128.370584
good,0.776544,129.012259
good,0.788082,65.784098
good,0.799621,67.001587
good,0.811159,68.253990
good,0.822698,69.500279
good,0.834236,71.374833
good,0.845774,73.315768
good,0.857313,75.025803
good,0.868851,75.919836
good,0.880390,75.296105
good,0.891928,73.698368
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
good,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,1.088082,142.017621
pants,1.099621,138.713981
pants,1.111159,136.621418
pants,1.122698,135.038057
pants,1.134236,134.829111
pants,1.145774,133.706823
pants,1.157313,133.312527
pants,1.168851,133.558537
pants,1.180390,133.925731
pants,1.191928,134.954038
pants,1.203467,136.167881
pants,1.215005,135.533577
pants,1.226544,134.828624
pants,1.238082,133.552362
pants,1.249621,131.606491
pants,1.261159,131.661267
pants,1.272698,128.909570
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,1.330390,65.089231
pants,1.341928,65.916954
pants,1.353467,65.268804
pants,1.365005,65.231868
pants,1.376544,65.490804
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
pants,--undefined--,--undefined--
look,--undefined--,--undefined--
look,1.457313,69.101630
look,1.468851,67.487893
look,1.480390,127.674779
look,1.491928,121.068852
look,1.503467,115.801303
look,1.515005,113.668817
look,1.526544,119.636547
look,1.538082,121.589030
look,1.549621,120.392629
look,1.561159,118.166562
look,1.572698,117.371596
look,1.584236,117.385263
look,1.595774,116.318563
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
look,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,1.930390,114.705155
great,1.941928,113.582466
great,1.953467,113.564801
great,1.965005,113.757385
great,1.976544,114.391924
great,1.988082,114.347370
great,1.999621,114.968215
great,2.011159,115.469182
great,2.022698,114.667562
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.149621,65.548991
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,2.230390,65.947563
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
great,--undefined--,--undefined--
