Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,0.476063,236.290484,1553.339342,2684.011467,4034.166609
your,0.482313,965.254729,1490.010598,3103.964428,4590.420817
your,0.488563,1390.739126,1872.874384,3171.540966,4799.275200
your,0.494813,1353.982822,2383.890803,3236.589733,4785.138860
your,0.501063,1922.712772,2742.340930,--undefined--,--undefined--
your,0.507313,176.441481,1523.647863,2778.347371,4067.312557
your,0.513563,207.960140,1658.977305,2466.011060,3875.599332
your,0.519813,224.683959,2005.266557,2423.094705,3729.183583
your,0.526063,248.887440,1889.555774,2462.214543,3739.132850
your,0.532313,252.850096,1797.527967,2376.041472,3674.472532
your,0.538563,269.151174,1752.019756,2294.808353,3308.502275
your,0.544813,251.462362,1744.392979,2660.596567,3609.191078
your,0.551063,246.957146,1621.498063,2542.511741,3632.619282
your,0.557313,227.451560,1587.393845,2509.553965,3616.420635
your,0.563563,335.296520,1549.142587,2115.235644,3525.803048
your,0.569813,358.233730,1540.566651,2095.130499,3534.245508
your,0.576063,405.148380,1520.155702,2096.097792,3533.302386
your,0.582313,380.610527,1416.561489,2027.450186,3449.033461
your,0.588563,346.046600,1402.274528,2036.313182,3542.497373
your,0.594813,355.944838,1353.983743,2136.057254,3583.700291
your,0.601063,344.469505,1409.017755,2099.098103,3463.196207
your,0.607313,362.253803,1338.701299,2276.237029,3502.143344
your,0.613563,351.698487,1311.813589,2446.628802,3562.629251
your,0.619813,330.598134,1305.162890,2069.771773,3465.361298
your,0.626063,326.811375,1307.548514,2137.663899,3524.322529
your,0.632313,293.168078,1294.057975,2231.727855,3496.707037
your,0.638563,268.724112,1312.347365,2116.787043,3282.297838
your,0.644813,242.547924,1333.649014,1926.471700,3309.085681
your,0.651063,206.661327,1275.736921,2274.342003,3356.258514
your,0.657313,208.313348,1255.498039,2270.243197,3348.250544
your,0.663563,177.789251,1348.733883,2303.154369,3257.442393
your,0.669813,75.186834,1387.628771,2560.537562,3255.325351
your,0.676063,1380.244476,2315.946226,3244.830569,4731.970060
your,0.682313,1191.012159,1642.738164,3241.240497,4355.037802
your,0.688563,1614.639427,1940.251785,3416.776746,4710.369776
your,0.694813,1573.251185,1709.055474,3405.699770,4520.337955
your,0.701063,1417.000871,2789.038739,3514.130528,4556.119155
good,0.707313,1411.894490,2925.276675,3574.078665,4554.078765
good,0.713563,1341.956941,2838.065163,2980.455963,3575.831288
good,0.719813,1538.081136,2912.924970,--undefined--,--undefined--
good,0.726063,271.654002,1625.214469,2883.395299,3700.039190
good,0.732313,251.986817,1463.441048,3086.637461,3674.042079
good,0.738563,292.169211,1454.026856,2864.321655,3639.429135
good,0.744813,314.656006,1418.386140,2326.573539,3598.238834
